title	href	last_work_plase	count
Data scientist	/resume/2aa3bc2e0007fd73ae0039ed1f4c637942474b?hhtmFrom=resume_search_result	Яндекс.Практикум	15.0
Специалист технической поддержки	/resume/f228865b0002d4344c0039ed1f7753654f3141?hhtmFrom=resume_search_result	"ООО ""ТрансТехСвязь"""	1.0
Руководитель направления цифровизации	/resume/65dabee10007825a1f0039ed1f314b59494752?hhtmFrom=resume_search_result	SOCIAL DISCOVERY VENTURES	1.0
Пентестер информационная безопасность (Junior Pentest)	/resume/b74109b80002d254a20039ed1f5757796d6d4f?hhtmFrom=resume_search_result	Консалтинговая компания	2.0
Руководитель направления продаж и развития клиентского сервиса	/resume/8f45ff980007be17cc0039ed1f525842306c65?hhtmFrom=resume_search_result	IKEA	3.0
PHP-разработчик	/resume/0d295d120002080faa0039ed1f7576456f3341?hhtmFrom=resume_search_result	Mebelrama.ru & Westwing.ru	1.0
Веб-дизайнер (Junior)	/resume/5ea510a40007ca66460039ed1f343672445a62?hhtmFrom=resume_search_result	Fl.ru	1.0
Операционный директор	/resume/d3afb4fc000800ba630039ed1f48666b537869?hhtmFrom=resume_search_result	Blinger LLC	1.0
Руководитель отдела  папродаж. Руководитель отдела партнёрских продаж.  Менеджер по развитию. BDM	/resume/0144a0dc0007dbd06c0039ed1f556961394556?hhtmFrom=resume_search_result	ООО «Далог»	1.0
Интернет-маркетолог	/resume/162a4cc9000714a6190039ed1f5a6a6e446831?hhtmFrom=resume_search_result	LaserLand	1.0
Инженер технической поддержки	/resume/88480965000635f6640039ed1f495a6b4e6942?hhtmFrom=resume_search_result	"ПАО ""Ростелеком"""	5.0
Сценарист	/resume/24efeab30007f2afc00039ed1f596e34655a6d?hhtmFrom=resume_search_result	Индивидуальное предпринимательство / частная практика / фриланс	177.0
Cистемный администратор	/resume/bfd3f1120003d6a8ee0039ed1f426f7339634f?hhtmFrom=resume_search_result	ООО ИТТ	1.0
Директор ИТ	/resume/f6879037000079bd9e0039ed1f736563726574?hhtmFrom=resume_search_result	Группа Компаний РУСАГРО, ООО	1.0
Руководитель проекта	/resume/587b081100008e9e2a0039ed1f736563726574?hhtmFrom=resume_search_result	Группа строительных компаний	1.0
Специалист со знанием английского языка	/resume/c284901400045626ca0039ed1f386563455150?hhtmFrom=resume_search_result	Dance Studio “Yulia Dance Masters” – Pretoria, South Africa	1.0
Программист 1С	/resume/afcd341c0008035d420039ed1f6f474679584b?hhtmFrom=resume_search_result	УралСиб, Страховая группа, ЗАО	1.0
Тестировщик ПО	/resume/a21ddc150002eb65500039ed1f554e75374744?hhtmFrom=resume_search_result	Высшая школа стилистики	1.0
Software Engineer (Java/DevOps)	/resume/a3a2866200080338a90039ed1f643676366630?hhtmFrom=resume_search_result		
Python Developer	/resume/1eda222600071b68c20039ed1f6e674d42705a?hhtmFrom=resume_search_result	ООО КРИПТОН	1.0
Администатор сайта, помощник СЕО-оптимизатора, контент-менеджер	/resume/315a14020001c3b3ba0039ed1f784e6e43537a?hhtmFrom=resume_search_result	ООО Сервисный центр	1.0
Менеджер интернет-магазина	/resume/bd10c4990005fbdab30039ed1f6f4d7a73634c?hhtmFrom=resume_search_result	ФК Зебра	1.0
Менеджер проектов / младший менеджер проектов	/resume/576182150007ef20c30039ed1f4b575849514c?hhtmFrom=resume_search_result	Маркетинговое агентство Megaresearch (маркетинговые исследования)	1.0
Программист-разработчик С# (Senior Developer)	/resume/86fd78e10005d3987e0039ed1f3958664b6b54?hhtmFrom=resume_search_result	"OOO ""Электронный кассир"""	1.0
IOS разработчик	/resume/74233a7d0003776b3d0039ed1f444955563752?hhtmFrom=resume_search_result	Согласие, страховая компания	2.0
ведущий инженер	/resume/85e5b050000517f5920039ed1f687544336951?hhtmFrom=resume_search_result	Пилот	3.0
Java-разработчик	/resume/195670c80005ba4e580039ed1f436359634134?hhtmFrom=resume_search_result	Иокогава Электрик СНГ	1.0
Специалист технической поддержки клиентов	/resume/e193eb7a0004a30c820039ed1f315762643257?hhtmFrom=resume_search_result	Cyber place	1.0
Менеджер проектов	/resume/2a901c4c00073629dc0039ed1f6f6a74724661?hhtmFrom=resume_search_result	"ООО ""РОБОДЕМ"""	1.0
Инженер технической поддержки.	/resume/7c1b54ca0005f8c62c0039ed1f4e4374637536?hhtmFrom=resume_search_result	С.К.А.Т	1.0
Менеджер проектов	/resume/71eaf47c0001784f290039ed1f6a304f777453?hhtmFrom=resume_search_result	Государственные и частные компании	1.0
менеджер по работе с клиентами, менеджер по обработке данных, оператор колл-центра	/resume/dcf05c750002d1aec90039ed1f4a6570325132?hhtmFrom=resume_search_result	"Контактный центр ""Светлые линии"", проект ""МОЭСК"""	1.0
Инженер технической поддержки	/resume/b3960a120007798ac90039ed1f414645426569?hhtmFrom=resume_search_result	Тералайн Телеком Связь	1.0
Инженер АСУТП , Интегратор Smart Home	/resume/1f294b6600064399df0039ed1f314138675663?hhtmFrom=resume_search_result	Умный дом - различные ИП	1.0
Системный администратор	/resume/99d36548000644ec250039ed1f566348734841?hhtmFrom=resume_search_result	"ООО ""ТК ОПТИМА ЛОГИСТИК"""	1.0
Менеджер образовательных проектов	/resume/936af1e70007e024ce0039ed1f797967583354?hhtmFrom=resume_search_result	ICEF	1.0
Сценарист	/resume/03dda22600064c18630039ed1f5462485a7637?hhtmFrom=resume_search_result	Фриланс	38.0
ГИС-специалист, ГИС-аналитик, картограф	/resume/53224bc200032672cd0039ed1f33344b6d5832?hhtmFrom=resume_search_result	Институт космических исследований РАН	1.0
Frontend разработчик	/resume/e88f6ccb00059909f30039ed1f43325666725a?hhtmFrom=resume_search_result	CubeArt	1.0
Электромонтажник-сборщик	/resume/47599aac00041083630039ed1f6a513559584d?hhtmFrom=resume_search_result	ооо ОКМОС	1.0
Менеджер интернет-магазина	/resume/d77b74be00025417f60039ed1f6d3344526842?hhtmFrom=resume_search_result	Pull and bear	1.0
Product manager	/resume/2c646b180007d5dca70039ed1f446a354d4137?hhtmFrom=resume_search_result	ESTP.RU, электронная торговая площадка	1.0
Руководитель направления e-commerce	/resume/630930df0003c94bf90039ed1f677a4b617630?hhtmFrom=resume_search_result	"Сеть магазинов ткани ""Сам себе кутюрье"""	1.0
