last_work_place;count
"ООО КФ ""Эскорт""";1
ВО «Машиноэкспорт»;1
Lyxor Asset Management - УК Société Générale (Отдел маркетинга и стратегического развития), Париж (Франция);1
Netcracker ЗАО Неткрекер;1
Корпорация дело;1
АО АИСТ;1
SoliDat Германия;1
Точка роста (ответственный консалтинг);1
СОШ;1
ASKEDO;1
"National research university ""Higher school of economics"" ";1
Nansen International Environmental and Remote Sensing Centre;1
Dvigex;1
Akfa Group of Companies;1
ИП OxanNik Studio;1
"Филиал ФКУ ""Налог-Сервис"" по Нижегородской области";1
PricewaterhouseCoopers (Россия);1
"ООО ""Фирменная сеть ""Киевхлеб""";1
JSC «Gazprom neft» (LLC «ITSK»);1
ТОО КокшетаутрейдингГруп;1
Major-Auto;1
"Гостиница ""Дружба""";1
OOO «Завод Медсинтез»;1
АйТи;1
"ООО ПК ""Лидер""";1
АО Руст Россия;1
Хомнет Лизинг;1
ФГБУ ВНИГНИ;1
"ООО ""Технолоджи Групп"" Блокчейн платформа «Credits”";1
Pepe Travel;1
"ООО ""Сервисхаб""";1
ФОП Музыка А.Н.;1
Казахтелеком, АО;1
ООО «ЮСИЭМЭС Групп»;1
Мясной дом Бородина;1
КРИСТА, НПО;1
"Корпорация ""ИМПОТЭК""";1
Отель «Успенка»;1
Мясная компания;1
ООО Себрос ;1
Эталонъ, НКЦ, ООО;1
Virton Logistics;1
Издательство «Эксмо»;1
Администрации города;1
ВТБ Лизинг;1
УФССП России по Москве ;1
ALD Automotive Russia;1
PilkiShop;1
"ООО ""Удачное Решение""";1
Строительная компания Сатурн;1
"ООО ""Инфраструктура Тк""";1
brandquad;1
Филиал ООО М-Вектор в Таджикистане;1
"Nepresso "" Nestle""";1
Самостоятельный проект по работе с данными;1
Fede;1
"ООО ""Центр кластерного развития Томской области""";1
ТБМ;1
"Акционерный коммерческий банк ""ТУСАР"" (акционерное общество)";1
"Казенное предприятие города Москвы ""Управление гражданского строительства""";1
МДМЦ  Чайка;1
НОРБИТ;1
"ООО ""Зефир""";1
Приорбанк;1
Грузчиков-Сервис, ООО;1
"ООО ""СЕРЕБРЯНАЯ ПУЛЯ""";1
Фольксваген Груп Финанц, ООО;1
